"country_code","dim1_prev","dim2_prev","dim1_curr","dim2_curr","delta_dim1","delta_dim2","delta_l2","delta_l1","delta_max","idx","startlegis","endlegis","active_periods","n_items_total","n_items_active","n_obs","n_pos","n_neg","n_missing","pct_missing","obs_rate_active","active_periods_with_votes","prop_active_periods_with_votes","mean_obs_per_active_period","min_obs_active_period","max_obs_active_period"
"SOM",0.341303863019856,1.36021616903458,0.30670084958058,1.35495322416964,-0.0346030134392762,-0.00526294486493839,0.035000958954436,0.0398659583042146,0.0346030134392762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCO",0.104096115999571,1.25043837860479,0.0712599751502704,1.23944068323978,-0.032836140849301,-0.0109976953650137,0.0346289105981805,0.0438338362143147,0.032836140849301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLB",0.866202029684611,-1.0589927289043,0.896937775564747,-1.04362447461158,0.0307357458801358,0.0153682542927196,0.0343637791113547,0.0461040001728554,0.0307357458801358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUT",0.32727512389217,1.29442725086757,0.29430680485067,1.28918493731685,-0.0329683190415007,-0.00524231355072091,0.0333825090696648,0.0382106325922216,0.0329683190415007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJI",0.32727512389217,1.29442725086757,0.29430680485067,1.28918493731685,-0.0329683190415007,-0.00524231355072091,0.0333825090696648,0.0382106325922216,0.0329683190415007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GNB",0.32727512389217,1.29442725086757,0.29430680485067,1.28918493731685,-0.0329683190415007,-0.00524231355072091,0.0333825090696648,0.0382106325922216,0.0329683190415007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRL",0.32727512389217,1.29442725086757,0.29430680485067,1.28918493731685,-0.0329683190415007,-0.00524231355072091,0.0333825090696648,0.0382106325922216,0.0329683190415007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RWA",0.32727512389217,1.29442725086757,0.29430680485067,1.28918493731685,-0.0329683190415007,-0.00524231355072091,0.0333825090696648,0.0382106325922216,0.0329683190415007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KHM",0.829775542281138,1.23879467485684,0.799590362750532,1.25151160507851,-0.0301851795306067,0.0127169302216701,0.0327546237584526,0.0429021097522768,0.0301851795306067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVN",0.626053039182906,-0.978828861230947,0.654579564813702,-0.969336543013258,0.0285265256307957,0.0094923182176887,0.0300643770883468,0.0380188438484844,0.0285265256307957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEL",0.681706896852432,1.08119938282021,0.65326186961974,1.08785273674895,-0.0284450272326915,0.00665335392874544,0.0292127830370493,0.0350983811614369,0.0284450272326915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COK",0.705929090019806,1.03002313925217,0.678605537468352,1.03837801132413,-0.0273235525514535,0.00835487207196528,0.0285723714691473,0.0356784246234187,0.0273235525514535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUX",0.624953307290125,1.05173181179225,0.598896899911929,1.06003976061776,-0.0260564073781959,0.00830794882550978,0.0273488277471959,0.0343643562037057,0.0260564073781959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
