hs88,hs2012,hs2012_count,hs88_count,mapping_type,ambiguous_mapping,mapping_weight
030410,030446,17,1,one_to_many,TRUE,0.058823529411764705
030410,030449,17,1,one_to_many,TRUE,0.058823529411764705
030410,030451,17,1,one_to_many,TRUE,0.058823529411764705
030410,030452,17,1,one_to_many,TRUE,0.058823529411764705
030410,030453,17,1,one_to_many,TRUE,0.058823529411764705
030410,030454,17,1,one_to_many,TRUE,0.058823529411764705
030410,030455,17,1,one_to_many,TRUE,0.058823529411764705
030410,030459,17,1,one_to_many,TRUE,0.058823529411764705
030420,030461,18,1,one_to_many,TRUE,0.05555555555555555
030420,030462,18,1,one_to_many,TRUE,0.05555555555555555
030420,030463,18,1,one_to_many,TRUE,0.05555555555555555
030420,030469,18,1,one_to_many,TRUE,0.05555555555555555
030420,030471,18,1,one_to_many,TRUE,0.05555555555555555
030420,030472,18,1,one_to_many,TRUE,0.05555555555555555
030420,030473,18,1,one_to_many,TRUE,0.05555555555555555
030420,030474,18,1,one_to_many,TRUE,0.05555555555555555
030420,030475,18,1,one_to_many,TRUE,0.05555555555555555
030420,030479,18,1,one_to_many,TRUE,0.05555555555555555
030420,030481,18,1,one_to_many,TRUE,0.05555555555555555
030420,030482,18,1,one_to_many,TRUE,0.05555555555555555
030420,030483,18,1,one_to_many,TRUE,0.05555555555555555
030420,030484,18,1,one_to_many,TRUE,0.05555555555555555
030420,030485,18,1,one_to_many,TRUE,0.05555555555555555
030420,030486,18,1,one_to_many,TRUE,0.05555555555555555
030420,030487,18,1,one_to_many,TRUE,0.05555555555555555
030420,030489,18,1,one_to_many,TRUE,0.05555555555555555
030490,030491,6,1,one_to_many,TRUE,0.16666666666666666
030490,030492,6,1,one_to_many,TRUE,0.16666666666666666
030490,030493,6,1,one_to_many,TRUE,0.16666666666666666
030490,030494,6,1,one_to_many,TRUE,0.16666666666666666
030490,030495,6,1,one_to_many,TRUE,0.16666666666666666
030490,030499,6,1,one_to_many,TRUE,0.16666666666666666
030510,030510,1,1,one_to_one,FALSE,1
030520,030520,1,1,one_to_one,FALSE,1
030530,030531,3,1,one_to_many,TRUE,0.3333333333333333
030530,030532,3,1,one_to_many,TRUE,0.3333333333333333
030530,030539,3,1,one_to_many,TRUE,0.3333333333333333
030541,030541,1,1,one_to_one,FALSE,1
030542,030542,1,1,one_to_one,FALSE,1
030549,030543,3,1,one_to_many,TRUE,0.3333333333333333
030549,030544,3,1,one_to_many,TRUE,0.3333333333333333
030549,030549,3,1,one_to_many,TRUE,0.3333333333333333
030551,030551,1,1,one_to_one,FALSE,1
030559,030559,4,1,one_to_many,TRUE,0.25
030561,030561,1,1,one_to_one,FALSE,1
030562,030562,1,1,one_to_one,FALSE,1
030563,030563,1,1,one_to_one,FALSE,1
030569,030564,2,1,one_to_many,TRUE,0.5
030569,030569,2,1,one_to_many,TRUE,0.5
030559,030571,4,1,one_to_many,TRUE,0.25
030559,030572,4,1,one_to_many,TRUE,0.25
030559,030579,4,1,one_to_many,TRUE,0.25
030611,030611,1,1,one_to_one,FALSE,1
030612,030612,1,1,one_to_one,FALSE,1
030614,030614,1,1,one_to_one,FALSE,1
030619,030615,2,1,one_to_many,TRUE,0.5
