iso3,country_name,first_event_year,first_event_period
FRA,France,1990,1990-1994
FRO,Faeroe Islands,1992,1990-1994
FSM,Micronesia (Federated States of),1991,1990-1994
GAB,Gabon,1990,1990-1994
GBR,United Kingdom,1990,1990-1994
GEO,Georgia,1990,1990-1994
GHA,Ghana,1990,1990-1994
GIB,Gibraltar,1990,1990-1994
GIN,Guinea,1990,1990-1994
GMB,Gambia,1990,1990-1994
GNB,Guinea-Bissau,1990,1990-1994
GNQ,Equatorial Guinea,1991,1990-1994
GRC,Greece,1990,1990-1994
GRD,Grenada,1990,1990-1994
GRL,Greenland,1993,1990-1994
GTM,Guatemala,1990,1990-1994
GUF,French Guiana,2001,2000-2004
GUM,Guam,2001,2000-2004
GUY,Guyana,1990,1990-1994
HKG,Hong Kong,1993,1990-1994
HND,Honduras,1990,1990-1994
HRV,Croatia,1991,1990-1994
HTI,Haiti,1990,1990-1994
HUN,Hungary,1990,1990-1994
IDN,Indonesia,1990,1990-1994
IMN,Isle of Man,1990,1990-1994
IND,India,1990,1990-1994
IRL,Ireland,1990,1990-1994
IRN,Iran,1990,1990-1994
IRQ,Iraq,1990,1990-1994
ISL,Iceland,1990,1990-1994
ISR,Israel,1990,1990-1994
ITA,Italy,1990,1990-1994
JAM,Jamaica,1990,1990-1994
JOR,Jordan,1990,1990-1994
JPN,Japan,1990,1990-1994
KAZ,Kazakhstan,1991,1990-1994
KEN,Kenya,1990,1990-1994
KGZ,Kyrgyzstan,1991,1990-1994
KHM,Cambodia,1990,1990-1994
KIR,Kiribati,1990,1990-1994
KNA,St. Kitts & Nevis,1990,1990-1994
KOR,South Korea,1990,1990-1994
KWT,Kuwait,1990,1990-1994
LAO,Laos,1990,1990-1994
LBN,Lebanon,1990,1990-1994
LBR,Liberia,1990,1990-1994
LBY,Libya,1990,1990-1994
LCA,St. Lucia,1990,1990-1994
LIE,Liechtenstein,1990,1990-1994
LKA,Sri Lanka,1990,1990-1994
LSO,Lesotho,1990,1990-1994
LTU,Lithuania,1991,1990-1994
LUX,Luxembourg,1990,1990-1994
LVA,Latvia,1991,1990-1994
MAC,Macao,1993,1990-1994
MAR,Morocco,1990,1990-1994
MCO,Monaco,1990,1990-1994
MDA,Moldova,1990,1990-1994
MDG,Madagascar,1990,1990-1994
MDV,Maldives,1990,1990-1994
MEX,Mexico,1990,1990-1994
MHL,Marshall Islands,1990,1990-1994
MKD,North Macedonia,1991,1990-1994
MLI,Mali,1990,1990-1994
MLT,Malta,1990,1990-1994
MMR,Myanmar (Burma),1990,1990-1994
MNE,Montenegro,1993,1990-1994
MNG,Mongolia,1990,1990-1994
MNP,Northern Mariana Islands,1990,1990-1994
MOZ,Mozambique,1990,1990-1994
MRT,Mauritania,1991,1990-1994
MSR,Montserrat,1996,1995-1999
MTQ,Martinique,1993,1990-1994
MUS,Mauritius,1990,1990-1994
MWI,Malawi,1990,1990-1994
MYS,Malaysia,1990,1990-1994
MYT,Mayotte,2003,2000-2004
NAM,Namibia,1990,1990-1994
NCL,New Caledonia,1994,1990-1994
NER,Niger,1990,1990-1994
NFK,Norfolk Island,1997,1995-1999
NGA,Nigeria,1990,1990-1994
NIC,Nicaragua,1990,1990-1994
NIU,Niue,1990,1990-1994
NLD,Netherlands,1990,1990-1994
NOR,Norway,1990,1990-1994
NPL,Nepal,1990,1990-1994
NRU,Nauru,1990,1990-1994
NZL,New Zealand,1990,1990-1994
OMN,Oman,1990,1990-1994
PAK,Pakistan,1990,1990-1994
PAN,Panama,1990,1990-1994
PER,Peru,1990,1990-1994
PHL,Philippines,1990,1990-1994
PLW,Palau,1992,1990-1994
PNG,Papua New Guinea,1990,1990-1994
POL,Poland,1990,1990-1994
PRK,"Korea, Democratic People's Republic",1990,1990-1994
PRT,Portugal,1990,1990-1994
PRY,Paraguay,1990,1990-1994
PSE,Palestinian Territories,1997,1995-1999
PYF,French Polynesia,1994,1990-1994
QAT,Qatar,1990,1990-1994
REU,Réunion,1991,1990-1994
ROU,Romania,1990,1990-1994
RUS,Russia,1990,1990-1994
RWA,Rwanda,1990,1990-1994
SAU,Saudi Arabia,1990,1990-1994
SDN,Sudan,1990,1990-1994
SEN,Senegal,1990,1990-1994
SGP,Singapore,1990,1990-1994
SHN,Saint Helena,1996,1995-1999
SLB,Solomon Islands,1990,1990-1994
SLE,Sierra Leone,1990,1990-1994
SLV,El Salvador,1990,1990-1994
SMR,San Marino,1990,1990-1994
SOM,Somalia,1990,1990-1994
SPM,Saint Pierre and Miquelon,1994,1990-1994
SRB,Serbia,1990,1990-1994
SSD,South Sudan,1990,1990-1994
STP,São Tomé & Príncipe,1990,1990-1994
SUR,Suriname,1990,1990-1994
SVK,Slovakia,1990,1990-1994
SVN,Slovenia,1990,1990-1994
SWE,Sweden,1990,1990-1994
SWZ,Eswatini,1991,1990-1994
SXM,Sint Maarten,1994,1990-1994
SYC,Seychelles,1990,1990-1994
SYR,Syria,1990,1990-1994
TCD,Chad,1990,1990-1994
TGO,Togo,1990,1990-1994
THA,Thailand,1990,1990-1994
TJK,Tajikistan,1990,1990-1994
TKL,Tokelau,1991,1990-1994
TKM,Turkmenistan,1990,1990-1994
TLS,Timor-Leste,1993,1990-1994
TON,Tonga,1990,1990-1994
TTO,Trinidad & Tobago,1990,1990-1994
TUN,Tunisia,1990,1990-1994
TUR,Turkey,1990,1990-1994
TUV,Tuvalu,1990,1990-1994
TWN,Taiwan,1993,1990-1994
TZA,Tanzania,1990,1990-1994
UGA,Uganda,1990,1990-1994
UKR,Ukraine,1990,1990-1994
URY,Uruguay,1990,1990-1994
USA,United States,1990,1990-1994
UZB,Uzbekistan,1991,1990-1994
VAT,Vatican City,1990,1990-1994
VCT,St. Vincent & Grenadines,1990,1990-1994
VEN,Venezuela,1990,1990-1994
VGB,British Virgin Islands,1994,1990-1994
VNM,Vietnam,1990,1990-1994
VUT,Vanuatu,1990,1990-1994
WSM,Samoa,1990,1990-1994
YEM,Yemen,1990,1990-1994
ZAF,South Africa,1990,1990-1994
ZMB,Zambia,1990,1990-1994
ZWE,Zimbabwe,1990,1990-1994
