iso3,period,unga_ideal_point
CMR,2005-2009,0.11547859683632851
CMR,2010-2014,0.14164812937378884
CMR,2015-2018,0.018252721522003412
COD,1990-1994,-0.13022052720189095
COD,1995-1999,-0.7046473383903503
COD,2000-2004,-1.00397047996521
COD,2005-2009,-0.5392620086669921
COD,2010-2014,-0.5809001505374909
COD,2015-2018,-0.49615538865327835
COG,1990-1994,-0.2641945770010352
COG,1995-1999,-0.5673607513308525
COG,2000-2004,-0.7637741565704346
COG,2005-2009,-0.6400298237800598
COG,2010-2014,-0.5738916397094727
COG,2015-2018,-0.7171987295150757
COL,1990-1994,-0.5239076018333435
COL,1995-1999,-0.5736472725868225
COL,2000-2004,-0.30004783868789675
COL,2005-2009,-0.23486033976078033
COL,2010-2014,-0.09759675487875938
COL,2015-2018,-0.14423517137765884
COM,1990-1994,-0.5475817143917083
COM,1995-1999,-0.5408264994621277
COM,2000-2004,-0.9142694354057312
COM,2005-2009,-0.758227002620697
COM,2010-2014,-0.6742778897285462
COM,2015-2018,-0.7103230953216553
CPV,1990-1994,-0.36500929296016693
CPV,1995-1999,-0.6187291264533996
CPV,2000-2004,-0.5720592975616455
CPV,2005-2009,-0.38771543502807615
CPV,2010-2014,-0.3802028000354767
CPV,2015-2018,-0.44612497836351395
CRI,1990-1994,0.1374796774238348
CRI,1995-1999,-0.09089297857135534
CRI,2000-2004,-0.0675514753907919
CRI,2005-2009,-0.15559141114354133
CRI,2010-2014,-0.17367786169052124
CRI,2015-2018,-0.16569637693464756
CSK,1990-1994,1.2802559932072957
CUB,1990-1994,-1.6221563816070557
CUB,1995-1999,-1.742466640472412
CUB,2000-2004,-1.1145423889160155
CUB,2005-2009,-1.2232421875
CUB,2010-2014,-1.593954586982727
CUB,2015-2018,-1.7413282692432404
CYP,1990-1994,-0.21340338177978993
CYP,1995-1999,0.4989104226231575
CYP,2000-2004,0.6137848138809204
CYP,2005-2009,0.6568179726600647
CYP,2010-2014,0.624352502822876
CYP,2015-2018,0.6189100593328476
CZE,1990-1994,1.4515604972839355
CZE,1995-1999,1.2459640026092529
CZE,2000-2004,1.0562647104263305
CZE,2005-2009,0.9829874515533448
CZE,2010-2014,1.0773723363876342
CZE,2015-2018,1.1968804895877838
DEU,1990-1994,1.6270283937454224
DEU,1995-1999,1.3802066087722777
DEU,2000-2004,1.1129409193992614
DEU,2005-2009,0.9280895948410034
DEU,2010-2014,1.0061462283134461
DEU,2015-2018,1.1691709756851196
DJI,1990-1994,-0.5675633668899536
DJI,1995-1999,-0.7538148283958435
DJI,2000-2004,-0.9051048874855041
DJI,2005-2009,-0.8063306689262391
DJI,2010-2014,-0.6605319619178772
DJI,2015-2018,-0.5933267548680305
DMA,1990-1994,0.20995886847376824
DMA,1995-1999,-0.17776715755462646
DMA,2000-2004,-0.4729230016469955
DMA,2005-2009,-0.5748967528343201
DMA,2010-2014,-0.4411850839853287
DMA,2015-2018,-0.4192884489893913
DNK,1990-1994,1.3101691722869873
DNK,1995-1999,1.2755255937576293
DNK,2000-2004,1.0755862712860107
DNK,2005-2009,0.9885388016700745
DNK,2010-2014,0.9817938804626465
DNK,2015-2018,1.0836167335510254
DOM,1990-1994,0.19670937350019813
DOM,1995-1999,-0.20756981894373894
DOM,2000-2004,-0.13915178370662035
DOM,2005-2009,-0.2519200436770916
DOM,2010-2014,-0.4594625949859619
DOM,2015-2018,-0.48265423253178596
DZA,1990-1994,-0.830170738697052
DZA,1995-1999,-0.8433995604515075
DZA,2000-2004,-1.0617206573486329
DZA,2005-2009,-1.1101139664649964
DZA,2010-2014,-1.038961684703827
DZA,2015-2018,-1.0689529329538345
ECU,1990-1994,-0.36010630130767823
ECU,1995-1999,-0.11395911052823067
ECU,2000-2004,-0.343884801864624
ECU,2005-2009,-0.44331935346126555
ECU,2010-2014,-1.1072186589241029
ECU,2015-2018,-0.8268499001860619
EGY,1990-1994,-0.6077768266201019
EGY,1995-1999,-0.8286530613899231
EGY,2000-2004,-1.1665316104888916
EGY,2005-2009,-1.4323346138000488
EGY,2010-2014,-1.1916023731231689
EGY,2015-2018,-1.138003259897232
ERI,1990-1994,-0.3536263555288315
ERI,1995-1999,-0.5185967177152634
ERI,2000-2004,-0.5321256399154664
ERI,2005-2009,-0.5404923915863037
ERI,2010-2014,-0.6394836604595184
ERI,2015-2018,-0.6726667881011963
ESP,1990-1994,1.0360178232192994
ESP,1995-1999,1.1760966062545777
ESP,2000-2004,1.0061696290969848
ESP,2005-2009,0.898028039932251
ESP,2010-2014,0.8627605438232422
ESP,2015-2018,1.0263963043689728
EST,1990-1994,1.158352255821228
EST,1995-1999,1.2053079843521117
EST,2000-2004,1.026755166053772
EST,2005-2009,0.9263554096221924
EST,2010-2014,0.9950080633163452
EST,2015-2018,1.0810492634773254
ETH,1990-1994,-0.39771249890327454
ETH,1995-1999,-0.2620611786842346
ETH,2000-2004,-0.37845648229122164
ETH,2005-2009,-0.40050740242004396
ETH,2010-2014,-0.4633410573005676
ETH,2015-2018,-0.48851846903562546
FIN,1990-1994,1.2517558813095093
FIN,1995-1999,1.2884436130523682
FIN,2000-2004,1.0178850769996644
FIN,2005-2009,0.8775776505470276
FIN,2010-2014,0.8807721495628357
FIN,2015-2018,0.8760530948638916
FJI,1990-1994,0.15788999199867249
FJI,1995-1999,-0.2697266787290573
FJI,2000-2004,-0.03744147792458534
FJI,2005-2009,0.10769371241331102
FJI,2010-2014,-0.25365396291017533
FJI,2015-2018,-0.33572621643543243
FRA,1990-1994,1.9235440015792846
FRA,1995-1999,1.654038429260254
FRA,2000-2004,1.399562382698059
FRA,2005-2009,1.3916596174240112
FRA,2010-2014,1.3202246189117433
FRA,2015-2018,1.4294795095920563
FSM,1990-1994,0.8113170266151428
FSM,1995-1999,1.396545147895813
FSM,2000-2004,2.034233808517456
FSM,2005-2009,1.740609622001648
FSM,2010-2014,1.7930444002151489
FSM,2015-2018,1.5657994747161865
GAB,1990-1994,-0.33623711913824084
GAB,1995-1999,-0.5269905418157578
GAB,2000-2004,-0.6331748962402344
GAB,2005-2009,-0.6670928716659545
GAB,2010-2014,-0.42437756061553955
GAB,2015-2018,-0.3245544508099556
GBR,1990-1994,2.1796432018280028
GBR,1995-1999,1.8797064304351807
GBR,2000-2004,1.5895437955856324
GBR,2005-2009,1.4912601947784423
GBR,2010-2014,1.550204610824585
GBR,2015-2018,1.613989233970642
GEO,1990-1994,1.2254604697227478
GEO,1995-1999,0.8198162078857422
GEO,2000-2004,0.8384889483451843
GEO,2005-2009,0.8399476766586303
GEO,2010-2014,0.7960800409317017
GEO,2015-2018,0.8632450252771378
GHA,1990-1994,-0.7372366845607757
GHA,1995-1999,-0.940355122089386
