country_iso3,period,ideal_point
ETH,1990-1994,-0.7712210613946023
FIN,1990-1994,1.9204736085301426
FJI,1990-1994,-0.5030090893604139
FRA,1990-1994,1.8042409051762145
GAB,1990-1994,0.24415619971263638
GBR,1990-1994,1.7023080854890276
GEO,1990-1994,-0.4546719698975371
GHA,1990-1994,0.13860442660840544
GIN,1990-1994,-0.43004115592215186
GMB,1990-1994,0.19251657536294003
GNB,1990-1994,-1.323459989583733
GNQ,1990-1994,-0.7736530031711993
GRC,1990-1994,0.8280453288831036
GRD,1990-1994,-0.30768216557633715
GTM,1990-1994,-0.38022698914707515
GUF,1990-1994,0
GUY,1990-1994,-0.3764218286880759
HKG,1990-1994,-1.6745678920732467
HND,1990-1994,-0.360772523849138
HRV,1990-1994,0.29057996473506953
HTI,1990-1994,-0.749389698294466
HUN,1990-1994,0.9760236288284017
IDN,1990-1994,0.14631043004545446
IND,1990-1994,0.33044042664914286
IRL,1990-1994,0.10760623272603517
IRN,1990-1994,-0.6217233816226557
IRQ,1990-1994,-1.6322180481467234
ISL,1990-1994,0.9209641017322212
ISR,1990-1994,0.1101145125900383
ITA,1990-1994,1.2149823598169678
JAM,1990-1994,0.4916711746087861
JOR,1990-1994,-0.39064210554288914
JPN,1990-1994,0.8867384960298659
KAZ,1990-1994,0.06867488136486077
KEN,1990-1994,0.5358624441240654
KGZ,1990-1994,-1.4554431582895628
KHM,1990-1994,-0.8288249204965087
KIR,1990-1994,-0.6877257057555799
KNA,1990-1994,-0.23849096376671594
KOR,1990-1994,0.516177074702526
KWT,1990-1994,-0.6206812694637575
LAO,1990-1994,-1.1058705914616833
LBN,1990-1994,0.17383494967657886
LBR,1990-1994,0.033936994741252426
LBY,1990-1994,-0.4736391295583869
LCA,1990-1994,-0.22283829315800818
LIE,1990-1994,-0.16123956660650496
LKA,1990-1994,-0.2762863489284897
LSO,1990-1994,-0.7573018670394435
LTU,1990-1994,0.20599318755316448
LUX,1990-1994,1.2533934542046312
LVA,1990-1994,0.25278453549106483
MAC,1990-1994,-1.7349367378901535
MAR,1990-1994,0.19194958867165007
MCO,1990-1994,0.6875744325092226
MDA,1990-1994,-0.47315054863191797
MDG,1990-1994,-0.8973332429160387
MDV,1990-1994,-0.4710505941004121
MEX,1990-1994,0.6511985819989068
MHL,1990-1994,0.2099273173656937
MKD,1990-1994,-0.6178522855378267
MLI,1990-1994,-0.6925365637105573
MLT,1990-1994,0.30524567544598546
MMR,1990-1994,0.13334321332065296
MNE,1990-1994,0
MNG,1990-1994,-0.8114184677740399
MOZ,1990-1994,-0.5595709701279724
MRT,1990-1994,-0.4611976692397898
MSR,1990-1994,0
MUS,1990-1994,-0.19267222834418346
MWI,1990-1994,-0.506951360581767
MYS,1990-1994,-0.2836440139555612
NAM,1990-1994,-0.7483390532355246
NER,1990-1994,-0.5880933620066034
NGA,1990-1994,-0.2877202835768778
NIC,1990-1994,-0.6648158323993533
NIU,1990-1994,-1.5617947188089292
NLD,1990-1994,1.961910134338651
NOR,1990-1994,2.1210647871842827
NPL,1990-1994,-0.5156784582360464
NRU,1990-1994,-0.9497798191207699
NZL,1990-1994,-0.025251490482960534
OMN,1990-1994,0.33085394705946036
PAK,1990-1994,-0.24650747706295162
PAN,1990-1994,0.6120123284447904
PER,1990-1994,0.6068947526578691
PHL,1990-1994,-0.11759444855210874
PLW,1990-1994,-1.5654607015250384
PNG,1990-1994,0.30167900598820985
POL,1990-1994,0.5600640656963843
PRK,1990-1994,0.09061002361955074
PRT,1990-1994,0.9859845480231525
PRY,1990-1994,-0.5084213487056101
PSE,1990-1994,0
QAT,1990-1994,-1.0971406863914723
ROU,1990-1994,0.4111081576789709
RUS,1990-1994,1.122862769750915
RWA,1990-1994,-1.4171742770370792
SAU,1990-1994,-0.8330362282818948
SDN,1990-1994,-0.6712317027731992
SEN,1990-1994,-0.06334771156560948
SGP,1990-1994,0.14873991786810395
SHN,1990-1994,0
SLB,1990-1994,-0.33957384315219385
SLE,1990-1994,-1.022336813243083
SLV,1990-1994,-0.6765196284603887
SMR,1990-1994,-1.3840074421624255
SOM,1990-1994,-1.236891514458915
SRB,1990-1994,-1.4435319132776248
SSD,1990-1994,0
STP,1990-1994,-0.8391200983243742
SUR,1990-1994,0.1372525692374552
SVK,1990-1994,0.5213014260172284
SVN,1990-1994,0.29310489558589403
SWE,1990-1994,2.4693960654948235
SWZ,1990-1994,-0.759168891761889
SYC,1990-1994,0.36645342078703474
SYR,1990-1994,0.003395993618946538
TCD,1990-1994,-0.6416633781306983
TGO,1990-1994,0.19946903753578218
THA,1990-1994,-0.45151338299634564
TJK,1990-1994,-1.104851311061207
TKL,1990-1994,-1.9436251253355805
TKM,1990-1994,-0.7061641376008123
TLS,1990-1994,0
TON,1990-1994,-0.7256149830780849
TTO,1990-1994,-0.4667927158342829
TUN,1990-1994,0.4573820704845578
TUR,1990-1994,0.24687212654156437
TUV,1990-1994,0.14462973879323612
TWN,1990-1994,0
TZA,1990-1994,-0.5834889247727244
UGA,1990-1994,-0.6059915669867664
UKR,1990-1994,0.4143349823527615
URY,1990-1994,0.5626969656923512
USA,1990-1994,1.0937053463102255
UZB,1990-1994,-0.7083929887067897
VAT,1990-1994,0
VCT,1990-1994,0.23122184779568605
VEN,1990-1994,0.4879661308074772
VGB,1990-1994,0
VNM,1990-1994,0.11890346224640738
VUT,1990-1994,0.2353305157424063
WSM,1990-1994,-0.6019019362199897
YEM,1990-1994,-0.8357484663622213
ZAF,1990-1994,0.5034149609444473
ZMB,1990-1994,-0.6634900080242547
ZWE,1990-1994,-0.5990509716099046
ABW,1995-1999,0
AFG,1995-1999,-1.4558325127017577
AGO,1995-1999,-1.0569630985264962
ALB,1995-1999,-0.6522127427352992
AND,1995-1999,-1.6302463554344058
ARE,1995-1999,-0.5877728565606128
ARG,1995-1999,0.46835664840529656
ARM,1995-1999,-1.0741565500092995
ATG,1995-1999,0.21281662607167895
AUS,1995-1999,0.6700083197701409
AUT,1995-1999,1.2255846874893976
AZE,1995-1999,-0.4245383163203127
BDI,1995-1999,-0.8136518997919705
BEL,1995-1999,1.1192226305041393
BEN,1995-1999,-0.5079552260383604
BFA,1995-1999,-0.5300221634659752
BGD,1995-1999,-0.4934342241375206
