country_iso3,period,ideal_point
ECU,1995-1999,-2.0721915843687784
EGY,1995-1999,0.20436643586063902
ERI,1995-1999,0.9012059786486042
ESP,1995-1999,-2.1160133757560073
EST,1995-1999,0.1348600160924302
ETH,1995-1999,1.1098798566666048
FIN,1995-1999,-0.38545522490562684
FJI,1995-1999,1.7097119382641899
FRA,1995-1999,-1.2587511320659002
FSM,1995-1999,1.4415048470627414
GAB,1995-1999,-0.6880427288802938
GBR,1995-1999,-0.7189558368995468
GEO,1995-1999,-0.06261293994425132
GHA,1995-1999,0.6311634031353826
GIN,1995-1999,0.28487389473984404
GMB,1995-1999,1.3255294156141835
GNB,1995-1999,0.8857062730104395
GNQ,1995-1999,0.7652592619710863
GRC,1995-1999,-0.4139088291306736
GRD,1995-1999,1.1098798566666048
GTM,1995-1999,-1.3954118172138308
GUY,1995-1999,1.1344035681706712
HND,1995-1999,-1.0522388034905008
HRV,1995-1999,-1.3901754963308823
HTI,1995-1999,0.5154536402916318
HUN,1995-1999,-0.18821222327270848
IDN,1995-1999,1.1344035681706712
IND,1995-1999,0.4765189502332851
IRL,1995-1999,0.2471284608051035
IRN,1995-1999,0.7825751626065478
IRQ,1995-1999,0.4852784586757073
ISL,1995-1999,-0.07738314019040675
ISR,1995-1999,0.7515425834185042
ITA,1995-1999,-1.4205957167014345
JAM,1995-1999,0.17958507396934498
JOR,1995-1999,0.4765189502332851
JPN,1995-1999,0.14120797085546646
KAZ,1995-1999,-0.6915875443426477
KEN,1995-1999,0.5063131743778362
KGZ,1995-1999,-0.5940924843123696
KHM,1995-1999,-0.3855231538673128
KIR,1995-1999,1.3616854157856813
KNA,1995-1999,1.4251773131492345
KOR,1995-1999,-0.20597738520572043
KWT,1995-1999,0.21463016302041266
LAO,1995-1999,0.4765189502332851
LBN,1995-1999,0.5875430164166366
LBR,1995-1999,1.4408074608348649
LBY,1995-1999,-0.28309883728911234
LCA,1995-1999,1.2776521147307314
LIE,1995-1999,0.06496313996106777
LKA,1995-1999,-0.22115603605409978
LSO,1995-1999,-0.8300789880520493
LTU,1995-1999,-0.7870645206127076
LUX,1995-1999,-0.4291184863238134
LVA,1995-1999,0.5594915897562047
MAR,1995-1999,-0.8841564532245829
MCO,1995-1999,0.3612370300588773
MDA,1995-1999,-0.030675339301207284
MDG,1995-1999,0.29001095383422526
MDV,1995-1999,-0.2793010877704369
MEX,1995-1999,-1.7701010865465674
MHL,1995-1999,1.7097119382641899
MKD,1995-1999,-0.6849926497725509
MLI,1995-1999,-1.7550739330100138
MLT,1995-1999,0.24324192021149738
MMR,1995-1999,1.3164074416812253
MNE,1995-1999,0
