"country_iso3","period","ideal_point"
"BLZ","1995-1999",0.207499636662805
"BOL","1995-1999",0.128223776571613
"BRA","1995-1999",0.575030235358448
"BRB","1995-1999",0.158572030442404
"BRN","1995-1999",-0.223867656100812
"BTN","1995-1999",-1.76364224211005
"BWA","1995-1999",-0.888540006472597
"CAF","1995-1999",-1.10824832656472
"CAN","1995-1999",0.171800450880024
"CHE","1995-1999",2.01262869345423
"CHL","1995-1999",0.0791416638440295
"CHN","1995-1999",0.657276387584013
"CIV","1995-1999",0.136596215922974
"CMR","1995-1999",-0.586138705088467
"COD","1995-1999",-0.59750340458484
"COG","1995-1999",-0.643358786468008
"COK","1995-1999",-1.65459607215353
"COL","1995-1999",0.0928789394233533
"COM","1995-1999",-0.713016126811594
"CPV","1995-1999",-1.03705608105835
"CRI","1995-1999",-0.604114158553363
"CUB","1995-1999",-0.114563212384867
"CUW","1995-1999",-0.626220604052476
"CYP","1995-1999",0.547918509433633
"CZE","1995-1999",1.30351741259471
"DEU","1995-1999",2.92649731144073
"DJI","1995-1999",-0.223965827701565
"DMA","1995-1999",-0.577589584862386
"DNK","1995-1999",2.56918279442491
"DOM","1995-1999",-0.0209612237067272
"DZA","1995-1999",0.0990397781048036
"ECU","1995-1999",0.38608296097773
"EGY","1995-1999",0.502874582055727
"ERI","1995-1999",-1.40148415542403
"ESP","1995-1999",2.47440437133667
"EST","1995-1999",0.896554091802997
"ETH","1995-1999",-0.678310422333971
"FIN","1995-1999",2.73556879508926
"FJI","1995-1999",-0.582297192135562
"FRA","1995-1999",2.5694489418239
"GAB","1995-1999",0.0442063777154611
"GBR","1995-1999",2.25639669249579
"GEO","1995-1999",0.114430811628934
"GHA","1995-1999",-0.164292048483196
"GIN","1995-1999",-0.512989734883247
"GMB","1995-1999",0.0762719884178907
"GNB","1995-1999",-1.53907394121468
"GNQ","1995-1999",-0.183952458213302
"GRC","1995-1999",1.49071553440864
"GRD","1995-1999",-0.5706414845594
"GTM","1995-1999",-0.017447264674796
"GUF","1995-1999",-1.52972509483241
"GUY","1995-1999",0.0977539678910782
"HKG","1995-1999",-3.58679606224651
"HND","1995-1999",-0.563980788520404
"HRV","1995-1999",0.821994006986159
"HTI","1995-1999",-1.26270470370228
"HUN","1995-1999",1.31353678259131
"IDN","1995-1999",-0.142215982553535
"IND","1995-1999",0.00695802828552897
"IRL","1995-1999",1.48153799359327
"IRN","1995-1999",-0.490102453393812
"IRQ","1995-1999",-2.14011256124942
"ISL","1995-1999",1.10012217010209
"ISR","1995-1999",-0.0282580475145467
"ITA","1995-1999",2.10344569939468
"JAM","1995-1999",0.357473636207795
"JOR","1995-1999",-0.623619304590911
"JPN","1995-1999",0.866852426295975
"KAZ","1995-1999",-0.0142671898082879
"KEN","1995-1999",0.392328488498789
"KGZ","1995-1999",-1.6521161659853
"KHM","1995-1999",-0.194108927048375
"KIR","1995-1999",-0.785211140575712
"KNA","1995-1999",0.0495533706234028
"KOR","1995-1999",0.737707309979683
"KWT","1995-1999",-0.66059467501753
"LAO","1995-1999",-1.01858256464795
"LBN","1995-1999",0.0254219202052831
"LBR","1995-1999",0.0961070978356402
"LBY","1995-1999",-0.679541345143254
"LCA","1995-1999",-0.523569598359284
"LIE","1995-1999",-0.415428553291896
"LKA","1995-1999",0.177497693652426
"LSO","1995-1999",-1.02625503854202
"LTU","1995-1999",0.913205824086919
"LUX","1995-1999",1.66068242695457
"LVA","1995-1999",1.08931778336687
"MAC","1995-1999",-3.97625100880819
"MAR","1995-1999",0.48688995115069
"MCO","1995-1999",0.716525496667251
"MDA","1995-1999",-0.517601252018322
"MDG","1995-1999",-0.622679386526281
"MDV","1995-1999",-0.666023413659616
"MEX","1995-1999",0.244129279463147
"MHL","1995-1999",0.0598479458599352
"MKD","1995-1999",-0.439686385352135
"MLI","1995-1999",-0.675370786713814
"MLT","1995-1999",0.0625272934695042
"MMR","1995-1999",-0.175193027654101
"MNE","1995-1999",0.821499633256429
"MNG","1995-1999",-0.536465147826044
"MOZ","1995-1999",-0.626723540982844
"MRT","1995-1999",0.145014687940854
"MSR","1995-1999",-4.24945181522432
"MUS","1995-1999",0.261512474451597
"MWI","1995-1999",-0.555460823320593
"MYS","1995-1999",0.0193341826077528
"NAM","1995-1999",-0.686287722063255
"NER","1995-1999",-0.753271909306574
"NGA","1995-1999",-0.520091954311553
"NIC","1995-1999",-0.616032664912622
"NIU","1995-1999",-1.88922375046951
"NLD","1995-1999",2.47249473001387
"NOR","1995-1999",2.548898638477
"NPL","1995-1999",-0.953712685114307
"NRU","1995-1999",-1.67348785516516
"NZL","1995-1999",0.378739917596319
"OMN","1995-1999",0.235752548984207
"PAK","1995-1999",0.185366761630309
"PAN","1995-1999",0.617928127536457
"PER","1995-1999",0.645698340208039
"PHL","1995-1999",-0.44073272211225
"PLW","1995-1999",-1.78893717970968
"PNG","1995-1999",0.0611511878983645
"POL","1995-1999",1.35306260415646
"PRK","1995-1999",-0.0169675731497682
"PRT","1995-1999",1.28227400919065
"PRY","1995-1999",-0.734613437335227
"PSE","1995-1999",-0.521335514031475
"QAT","1995-1999",-0.725945441309884
"ROU","1995-1999",0.58452930410896
"RUS","1995-1999",1.05642398998292
"RWA","1995-1999",-1.67000225914581
"SAU","1995-1999",-0.826154028121193
"SDN","1995-1999",-0.673286742441245
"SEN","1995-1999",0.596982714114676
"SGP","1995-1999",0.131826412646085
"SHN","1995-1999",-4.24945181522432
"SLB","1995-1999",-0.507940489255559
"SLE","1995-1999",-1.04391916214241
"SLV","1995-1999",-0.777015012140522
"SMR","1995-1999",-1.9761688356624
"SOM","1995-1999",-1.83170743006334
"SRB","1995-1999",-1.61405733216117
"SSD","1995-1999",-0.424778372129079
"STP","1995-1999",-0.176919240859953
"SUR","1995-1999",-0.0913471824812455
"SVK","1995-1999",1.32750308997762
"SVN","1995-1999",0.989398928692795
"SWE","1995-1999",3.00957276772051
"SWZ","1995-1999",-1.10383985551611
"SYC","1995-1999",-0.0949621174699569
"SYR","1995-1999",-0.248697741683334
"TCD","1995-1999",-0.91440530531857
"TGO","1995-1999",0.165876480726508
"THA","1995-1999",-0.592160108722578
"TJK","1995-1999",-0.877853381137688
"TKL","1995-1999",-4.39624189773226
"TKM","1995-1999",-0.873683360683776
"TLS","1995-1999",-1.30853159208772
"TON","1995-1999",0.0491017790270371
"TTO","1995-1999",-0.503219955535514
"TUN","1995-1999",0.907599675340043
"TUR","1995-1999",0.218240493209621
"TUV","1995-1999",-0.0435254199551847
"TWN","1995-1999",-1.54204744581091
"TZA","1995-1999",-0.599938250882532
"UGA","1995-1999",-0.853182000599963
"UKR","1995-1999",0.872191783942879
"URY","1995-1999",0.538933854792651
"USA","1995-1999",0.819578310981792
"UZB","1995-1999",-0.684942746206467
"VAT","1995-1999",-3.09518330178661
"VCT","1995-1999",0.290986608746523
"VEN","1995-1999",0.311611239719297
"VGB","1995-1999",-4.24945181522432
"VNM","1995-1999",-0.175507121123505
"VUT","1995-1999",0.122950259284815
"WSM","1995-1999",-0.615876198677052
"YEM","1995-1999",-0.80428429729628
"ZAF","1995-1999",0.612180992980324
"ZMB","1995-1999",-1.00614762560199
"ZWE","1995-1999",-1.02222524432602
"ABW","2000-2004",-4.92215197931206
"AFG","2000-2004",-1.3887977808305
"AGO","2000-2004",-0.12824071900188
"ALB","2000-2004",-0.650987002844315
"AND","2000-2004",-2.18784868756626
"ARE","2000-2004",-0.862198300150868
"ARG","2000-2004",0.459044041475894
"ARM","2000-2004",-1.04935653020969
"ATG","2000-2004",0.205428171262715
"AUS","2000-2004",0.807194682012629
"AUT","2000-2004",1.334516778426
"AZE","2000-2004",0.240203134982705
"BDI","2000-2004",-1.28924693147081
"BEL","2000-2004",2.10350279529913
"BEN","2000-2004",0.187919350957966
