country_name,treaty_id,treaty_name,action_type,action_date,signature_date,entry_into_force_date,treaty_open_year,wipo_treaty_id,source_url
Belize,wipo_convention,WIPO Convention,Accession,2000-03-17,,2000-06-17,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Benin,wipo_convention,WIPO Convention,Accession,1974-12-09,,1975-03-09,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Bhutan,wipo_convention,WIPO Convention,Accession,1993-12-16,,1994-03-16,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Bolivia (Plurinational State of),wipo_convention,WIPO Convention,Accession,1993-04-06,,1993-07-06,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Bosnia and Herzegovina,wipo_convention,WIPO Convention,Succession,1993-06-02,,1992-03-01,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Botswana,wipo_convention,WIPO Convention,Accession,1998-01-15,,1998-04-15,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Brazil,wipo_convention,WIPO Convention,Accession,1974-12-20,,1975-03-20,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Brunei Darussalam,wipo_convention,WIPO Convention,Accession,1994-01-21,,1994-04-21,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Bulgaria,wipo_convention,WIPO Convention,Ratification,1970-02-19,1968-01-11,1970-05-19,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Burkina Faso,wipo_convention,WIPO Convention,Accession,1975-05-23,,1975-08-23,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Burundi,wipo_convention,WIPO Convention,Accession,1976-12-30,,1977-03-30,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Cabo Verde,wipo_convention,WIPO Convention,Accession,1997-04-07,,1997-07-07,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Cambodia,wipo_convention,WIPO Convention,Accession,1995-04-25,,1995-07-25,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Cameroon,wipo_convention,WIPO Convention,Ratification,1973-08-03,1967-07-14,1973-11-03,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Canada,wipo_convention,WIPO Convention,Accession,1970-03-26,,1970-06-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Central African Republic,wipo_convention,WIPO Convention,Ratification,1978-05-23,1967-07-14,1978-08-23,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Chad,wipo_convention,WIPO Convention,Accession,1970-06-26,,1970-09-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Chile,wipo_convention,WIPO Convention,Accession,1975-03-25,,1975-06-25,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
China,wipo_convention,WIPO Convention,Accession,1980-03-03,,1980-06-03,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Colombia,wipo_convention,WIPO Convention,Accession,1980-02-04,,1980-05-04,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Comoros,wipo_convention,WIPO Convention,Accession,2005-01-03,,2005-04-03,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Congo,wipo_convention,WIPO Convention,Accession,1975-09-02,,1975-12-02,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Cook Islands,wipo_convention,WIPO Convention,Accession,2016-07-27,,2016-10-27,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Costa Rica,wipo_convention,WIPO Convention,Accession,1981-03-10,,1981-06-10,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Côte d'Ivoire,wipo_convention,WIPO Convention,Ratification,1974-02-01,1967-07-14,1974-05-01,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Croatia,wipo_convention,WIPO Convention,Succession,1992-07-28,,1991-10-08,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Cuba,wipo_convention,WIPO Convention,Accession,1974-12-27,,1975-03-27,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Cyprus,wipo_convention,WIPO Convention,Accession,1984-07-26,,1984-10-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Czech Republic,wipo_convention,WIPO Convention,Succession,1992-12-18,,1993-01-01,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Democratic People's Republic of Korea,wipo_convention,WIPO Convention,Accession,1974-05-17,,1974-08-17,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Democratic Republic of the Congo,wipo_convention,WIPO Convention,Ratification,1974-10-28,1967-07-14,1975-01-28,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Denmark,wipo_convention,WIPO Convention,Ratification,1970-01-26,1967-07-14,1970-04-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Djibouti,wipo_convention,WIPO Convention,Accession,2002-02-13,,2002-05-13,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Dominica,wipo_convention,WIPO Convention,Accession,1998-06-26,,1998-09-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Dominican Republic,wipo_convention,WIPO Convention,Accession,2000-03-27,,2000-06-27,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Ecuador,wipo_convention,WIPO Convention,Ratification,1988-02-22,1967-07-14,1988-05-22,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Egypt,wipo_convention,WIPO Convention,Accession,1975-01-21,,1975-04-21,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
El Salvador,wipo_convention,WIPO Convention,Accession,1979-06-18,,1979-09-18,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Equatorial Guinea,wipo_convention,WIPO Convention,Accession,1997-03-26,,1997-06-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Eritrea,wipo_convention,WIPO Convention,Accession,1996-11-20,,1997-02-20,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Estonia,wipo_convention,WIPO Convention,Accession,1993-11-05,,1994-02-05,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Eswatini,wipo_convention,WIPO Convention,Accession,1988-05-18,,1988-08-18,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Ethiopia,wipo_convention,WIPO Convention,Accession,1997-11-19,,1998-02-19,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Fiji,wipo_convention,WIPO Convention,Accession,1971-12-11,,1972-03-11,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Finland,wipo_convention,WIPO Convention,Ratification,1970-06-08,1967-07-14,1970-09-08,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
France,wipo_convention,WIPO Convention,Ratification,1974-07-18,1967-07-14,1974-10-18,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Gabon,wipo_convention,WIPO Convention,Ratification,1975-03-06,1967-07-14,1975-06-06,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Gambia,wipo_convention,WIPO Convention,Accession,1980-09-10,,1980-12-10,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Georgia,wipo_convention,WIPO Convention,Succession,1994-01-18,,1991-12-25,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Germany,wipo_convention,WIPO Convention,Ratification,1970-06-19,1967-07-14,1970-09-19,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Ghana,wipo_convention,WIPO Convention,Accession,1976-03-12,,1976-06-12,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Greece,wipo_convention,WIPO Convention,Ratification,1975-12-04,1967-07-14,1976-03-04,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Grenada,wipo_convention,WIPO Convention,Accession,1998-06-22,,1998-09-22,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Guatemala,wipo_convention,WIPO Convention,Accession,1983-01-31,,1983-04-30,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Guinea,wipo_convention,WIPO Convention,Accession,1980-08-13,,1980-11-13,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Guinea-Bissau,wipo_convention,WIPO Convention,Accession,1988-03-28,,1988-06-28,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Guyana,wipo_convention,WIPO Convention,Accession,1994-07-25,,1994-10-25,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Haiti,wipo_convention,WIPO Convention,Accession,1983-08-02,,1983-11-02,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Holy See,wipo_convention,WIPO Convention,Ratification,1975-01-20,1967-07-14,1975-04-20,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Honduras,wipo_convention,WIPO Convention,Accession,1983-08-15,,1983-11-15,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Hungary,wipo_convention,WIPO Convention,Ratification,1969-12-18,1968-01-12,1970-04-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Iceland,wipo_convention,WIPO Convention,Ratification,1986-06-13,1967-07-14,1986-09-13,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
India,wipo_convention,WIPO Convention,Accession,1975-01-31,,1975-05-01,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Indonesia,wipo_convention,WIPO Convention,Ratification,1979-09-18,1968-01-12,1979-12-18,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Iran (Islamic Republic of),wipo_convention,WIPO Convention,Ratification,2001-12-14,1967-07-14,2002-03-14,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Iraq,wipo_convention,WIPO Convention,Accession,1975-10-21,,1976-01-21,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Ireland,wipo_convention,WIPO Convention,,,1968-01-12,1970-04-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Israel,wipo_convention,WIPO Convention,Ratification,1969-07-30,1967-07-14,1970-04-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Italy,wipo_convention,WIPO Convention,Ratification,1977-01-20,1967-07-14,1977-04-20,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Jamaica,wipo_convention,WIPO Convention,Accession,1978-09-25,,1978-12-25,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Japan,wipo_convention,WIPO Convention,Ratification,1975-01-20,1967-07-14,1975-04-20,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Jordan,wipo_convention,WIPO Convention,Accession,1972-04-12,,1972-07-12,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Kazakhstan,wipo_convention,WIPO Convention,Succession,1993-02-16,,1991-12-25,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Kenya,wipo_convention,WIPO Convention,Ratification,1971-07-05,1967-07-14,1971-10-05,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Kiribati,wipo_convention,WIPO Convention,Accession,2013-04-19,,2013-07-19,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Kuwait,wipo_convention,WIPO Convention,Accession,1998-04-14,,1998-07-14,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Kyrgyzstan,wipo_convention,WIPO Convention,Succession,1994-02-14,,1991-12-25,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Lao People's Democratic Republic,wipo_convention,WIPO Convention,Accession,1994-10-17,,1995-01-17,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Latvia,wipo_convention,WIPO Convention,Accession,1992-10-21,,1993-01-21,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Lebanon,wipo_convention,WIPO Convention,Accession,1986-09-30,,1986-12-30,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Lesotho,wipo_convention,WIPO Convention,Accession,1986-08-18,,1986-11-18,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Liberia,wipo_convention,WIPO Convention,Accession,1988-12-08,,1989-03-08,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Libya,wipo_convention,WIPO Convention,Accession,1976-06-28,,1976-09-28,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Liechtenstein,wipo_convention,WIPO Convention,Ratification,1972-02-21,1967-07-14,1972-05-21,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Lithuania,wipo_convention,WIPO Convention,Accession,1992-01-30,,1992-04-30,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Luxembourg,wipo_convention,WIPO Convention,Ratification,1974-12-19,1967-07-14,1975-03-19,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Madagascar,wipo_convention,WIPO Convention,Ratification,1989-09-22,1967-07-14,1989-12-22,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Malawi,wipo_convention,WIPO Convention,Accession,1970-03-11,,1970-06-11,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Malaysia,wipo_convention,WIPO Convention,Accession,1988-10-01,,1989-01-01,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Maldives,wipo_convention,WIPO Convention,Accession,2004-02-12,,2004-05-12,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Mali,wipo_convention,WIPO Convention,Accession,1982-05-14,,1982-08-14,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Malta,wipo_convention,WIPO Convention,Accession,1977-09-07,,1977-12-07,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Marshall Islands,wipo_convention,WIPO Convention,Accession,2017-09-11,,2017-12-11,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Mauritania,wipo_convention,WIPO Convention,Accession,1976-06-17,,1976-09-17,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Mauritius,wipo_convention,WIPO Convention,Accession,1976-06-21,,1976-09-21,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Mexico,wipo_convention,WIPO Convention,Ratification,1975-03-14,1967-07-14,1975-06-14,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Micronesia (Federated States of),wipo_convention,WIPO Convention,Accession,2025-06-19,,2025-09-19,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Monaco,wipo_convention,WIPO Convention,Ratification,1974-12-03,1967-07-14,1975-03-03,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Mongolia,wipo_convention,WIPO Convention,Accession,1978-11-28,,1979-02-28,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Montenegro,wipo_convention,WIPO Convention,Succession,2006-12-04,,2006-06-03,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Morocco,wipo_convention,WIPO Convention,Ratification,1971-04-27,1967-07-14,1971-07-27,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Mozambique,wipo_convention,WIPO Convention,Accession,1996-09-23,,1996-12-23,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Myanmar,wipo_convention,WIPO Convention,Accession,2001-02-15,,2001-05-15,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Namibia,wipo_convention,WIPO Convention,Accession,1991-09-23,,1991-12-23,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Nauru,wipo_convention,WIPO Convention,Accession,2020-02-11,,2020-05-11,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Nepal,wipo_convention,WIPO Convention,Accession,1996-11-04,,1997-02-04,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Netherlands (Kingdom of the),wipo_convention,WIPO Convention,Ratification,1974-10-09,1967-07-14,1975-01-09,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
New Zealand,wipo_convention,WIPO Convention,Accession,1984-03-14,,1984-06-20,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Nicaragua,wipo_convention,WIPO Convention,Accession,1985-02-05,,1985-05-05,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Niger,wipo_convention,WIPO Convention,Ratification,1975-02-18,1967-07-14,1975-05-18,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Nigeria,wipo_convention,WIPO Convention,Accession,1995-01-09,,1995-04-09,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Niue,wipo_convention,WIPO Convention,Accession,2014-10-08,,2015-01-08,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
North Macedonia,wipo_convention,WIPO Convention,Succession,1993-07-23,,1991-09-08,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Norway,wipo_convention,WIPO Convention,Ratification,1974-03-08,1967-07-14,1974-06-08,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Oman,wipo_convention,WIPO Convention,Accession,1996-11-19,,1997-02-19,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Pakistan,wipo_convention,WIPO Convention,Accession,1976-10-06,,1977-01-06,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Panama,wipo_convention,WIPO Convention,Accession,1983-06-17,,1983-09-17,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Papua New Guinea,wipo_convention,WIPO Convention,Accession,1997-04-10,,1997-07-10,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Paraguay,wipo_convention,WIPO Convention,Accession,1987-03-20,,1987-06-20,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Peru,wipo_convention,WIPO Convention,Ratification,1980-06-04,1967-07-14,1980-09-04,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Philippines,wipo_convention,WIPO Convention,Ratification,1980-04-14,1967-07-14,1980-07-14,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Poland,wipo_convention,WIPO Convention,Ratification,1974-12-23,1968-01-10,1975-03-23,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Portugal,wipo_convention,WIPO Convention,Ratification,1975-01-27,1967-07-14,1975-04-27,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Qatar,wipo_convention,WIPO Convention,Accession,1976-06-03,,1976-09-03,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Republic of Korea,wipo_convention,WIPO Convention,Accession,1978-12-01,,1979-03-01,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Republic of Moldova,wipo_convention,WIPO Convention,Succession,1993-06-03,,1991-12-25,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Romania,wipo_convention,WIPO Convention,Ratification,1969-02-28,1967-07-14,1970-04-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Russian Federation,wipo_convention,WIPO Convention,Ratification,1968-12-04,1967-10-12,1970-04-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Rwanda,wipo_convention,WIPO Convention,Accession,1983-11-03,,1984-02-03,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Saint Kitts and Nevis,wipo_convention,WIPO Convention,Accession,1995-08-16,,1995-11-16,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Saint Lucia,wipo_convention,WIPO Convention,Accession,1993-05-21,,1993-08-21,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Saint Vincent and the Grenadines,wipo_convention,WIPO Convention,Accession,1995-05-29,,1995-08-29,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Samoa,wipo_convention,WIPO Convention,Accession,1997-07-11,,1997-10-11,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
San Marino,wipo_convention,WIPO Convention,Accession,1991-03-26,,1991-06-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Sao Tome and Principe,wipo_convention,WIPO Convention,Accession,1998-02-12,,1998-05-12,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Saudi Arabia,wipo_convention,WIPO Convention,Accession,1982-02-22,,1982-05-22,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Senegal,wipo_convention,WIPO Convention,Ratification,1968-09-19,1967-07-14,1970-04-26,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Serbia,wipo_convention,WIPO Convention,Succession,2006-09-19,,1992-04-27,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Seychelles,wipo_convention,WIPO Convention,Accession,1999-12-16,,2000-03-16,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
Sierra Leone,wipo_convention,WIPO Convention,Accession,1986-02-18,,1986-05-18,1967,1,https://www.wipo.int/wipolex/en/treaties/ShowResults?search_what=C&treaty_id=1
