freq,reporter_code,product_code,partner_code,datatype,FREQ_LABEL,REPORTER_LABEL,PRODUCTCODE_LABEL,PARTNER_LABEL,DATATYPE_LABEL,year,tariff_value,nomencode,EXCLUDEDFROM,tariff_type,SUM_OF_RATES,MIN_RATE,MAX_RATE,TOTALNOOFLINES,NBR_PREF_LINES,NBR_MFN_LINES,NBR_NA_LINES,obs_value_measure,partner_override,hs6_code,hs4_code_raw,nbr_na_lines,ad_valorem_only,reporter_iso3,reporter_name,reporter_is_group,reporter_group_type,partner_iso3,partner_name,partner_is_group,partner_group_type,source
A,076,020421,000,Reported,Annual,Brazil,-- Carcasses and half-carcasses,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020421,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020422,000,Reported,Annual,Brazil,-- Other cuts with bone in,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020422,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020423,000,Reported,Annual,Brazil,-- Boneless,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020423,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020430,000,Reported,Annual,Brazil,"- Carcasses and half-carcasses of lamb, frozen",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020430,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020441,000,Reported,Annual,Brazil,-- Carcasses and half-carcasses,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020441,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020442,000,Reported,Annual,Brazil,-- Other cuts with bone in,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020442,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020443,000,Reported,Annual,Brazil,-- Boneless,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020443,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020450,000,Reported,Annual,Brazil,- Meat of goats,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,40,20,20,2,0,2,0,SimpleAverage,000,020450,0204,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020500,000,Reported,Annual,Brazil,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,80,20,20,4,0,4,0,SimpleAverage,000,020500,0205,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020610,000,Reported,Annual,Brazil,"- Of bovine animals, fresh or chilled",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,140,20,20,7,0,7,0,SimpleAverage,000,020610,0206,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020621,000,Reported,Annual,Brazil,-- Tongues,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020621,0206,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020622,000,Reported,Annual,Brazil,-- Livers,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020622,0206,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020629,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,100,20,20,5,0,5,0,SimpleAverage,000,020629,0206,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020630,000,Reported,Annual,Brazil,"- Of swine, fresh or chilled",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020630,0206,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020641,000,Reported,Annual,Brazil,-- Livers,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020641,0206,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020649,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020649,0206,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020680,000,Reported,Annual,Brazil,"- Other, fresh or chilled",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020680,0206,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020690,000,Reported,Annual,Brazil,"- Other, frozen",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020690,0206,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020710,000,Reported,Annual,Brazil,"(-1995) Poultry not cut in pieces, fresh or chilled",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,40,20,20,2,0,2,0,SimpleAverage,000,020710,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020721,000,Reported,Annual,Brazil,(-1995) Fowls of the species Gallus domesticus,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020721,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020722,000,Reported,Annual,Brazil,(-1995) Turkeys,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020722,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020723,000,Reported,Annual,Brazil,"(-1995) Ducks, geese and guinea fowls",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020723,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020731,000,Reported,Annual,Brazil,(-1995) Fatty livers of geese or ducks,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020731,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020739,000,Reported,Annual,Brazil,(-1995) Other,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,60,20,20,3,0,3,0,SimpleAverage,000,020739,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020741,000,Reported,Annual,Brazil,"(-1995, 2012-) -- Not cut in pieces, fresh or chilled",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,40,20,20,2,0,2,0,SimpleAverage,000,020741,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020742,000,Reported,Annual,Brazil,"(-1995, 2012-) -- Not cut in pieces, frozen",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020742,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020743,000,Reported,Annual,Brazil,"(-1995, 2012-) -- Fatty livers, fresh or chilled",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020743,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020750,000,Reported,Annual,Brazil,"(-1995) Poultry livers, frozen",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,40,20,20,2,0,2,0,SimpleAverage,000,020750,0207,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020810,000,Reported,Annual,Brazil,- Of rabbits or hares,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020810,0208,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020820,000,Reported,Annual,Brazil,(-2006)  - Frogs' legs,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020820,0208,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
